Time;[11:7];[31:48];[31:110];[31:112];[31:115];[32:1];[32:80];[32:85];[32:124];[33:108];[ChannelInfoFieldText([10:1], "$PDA_expression")]_text;[Bandl‰nge auf Abhaspel]
time;Banddicke;Ofenleistung;Wannentemperatur auﬂen;Wannentemperatur innen;Solltemperatur unter Zinnbadrolle;Bandbreite;Abblasung OS Luftdruck;Abblasung US Luftdruck;Bandgeschwindigkeit;Temperatur unter Zinnbadrolle;ChannelInfoFieldText([10:1], "$PDA_expression");Bandl‰nge auf Abhaspel
sec;mm;kW;∞C;∞C;∞C;mm;mbar;mbar;m/min;∞C;;m
195;0,32;0;279,47;274,259;273,84;355;0,578704;0,868056;0;271,39;;4143,76
196;0,32;0;279,543;274,24;273,84;355;0,578704;0,868056;0;271,38;;4143,76
197;0,32;0;279,485;274,107;273,84;355;0,578704;0,868056;0;271,371;;4143,76
198;0,32;0;279,203;274,089;273,84;355;0,578704;0,868056;0;271,364;;4143,76
199;0,32;0;279,167;274,389;273,84;355;0,578704;0,868056;0;271,356;;4143,76
200;0,32;0;279,282;274,396;273,84;355;0,578704;0,868056;0;271,35;;4143,76
201;0,32;0;279,036;274,4;273,84;355;0,578704;0,868056;0;271,345;;4143,76
202;0,32;0;279,167;274,4;273,84;355;0,578704;0,868056;0;271,34;;4143,76
203;0,32;0;279,203;274,414;273,84;355;0,578704;0,868056;0;271,338;;4143,76
204;0,32;0;278,429;274,403;273,84;355;0,578704;0,868056;0;271,337;;4143,76
205;0,32;0,5;278,508;274,363;273,84;355;0,622106;0,868056;0;271,339;;4143,76
206;0,32;0;278,581;274,414;273,84;355;0,578704;0,868056;0;271,344;;4143,76
207;0,32;0;278,552;274,396;273,84;355;0,578704;0,868056;0;271,346;;4143,76
208;0,32;0;278,429;274,591;273,84;355;0,578704;0,824653;0;271,346;;4143,76
209;0,32;0;278,103;274,772;273,84;355;0,578704;0,875289;0;271,35;;4143,76
210;0,32;0;277,966;274,761;273,84;355;0,578704;0,896991;0;271,355;;4143,76
211;0,32;0;278,024;274,79;273,84;355;2,57523;3,03096;0;271,36;;4143,76
212;0,32;0;278,125;274,783;273,84;355;85,612;86,8634;0;271,365;;4143,76
213;0,32;0;278,205;274,754;273,84;355;241,978;241,392;0;271,368;;4143,76
214;0,32;0;278,284;274,721;273,84;355;345,942;347,345;0;271,371;;4143,76
215;0,32;0;277,966;274,674;273,84;355;407,306;406,518;0;271,373;;4143,76
216;0,32;0;277,459;274,653;273,84;355;440,661;438,578;0;271,376;;4143,76
217;0,32;0;277,351;274,703;273,84;355;459,997;459,606;0;271,379;;4143,76
218;0,32;0;277,38;274,783;273,84;355;471,441;470,703;0;271,381;;4143,76
219;0,32;0;277,474;274,787;273,84;355;477,792;476,548;0;271,383;;4143,76
220;0,32;0;277,546;274,779;273,84;355;480,679;479,507;0;271,385;;4143,76
221;0,32;0;277,293;274,859;273,84;355;481,865;480,729;0;271,386;;4143,76
222;0,32;0;277,004;274,888;273,84;355;482,27;481,105;0;271,388;;4143,76
223;0,32;0;276,968;274,917;273,84;355;482,487;481,467;0;271,389;;4143,76
224;0,32;0;276,902;274,924;273,84;355;482,928;481,894;0;271,39;;4143,76
225;0,32;0;276,931;274,91;273,84;355;482,523;481,561;0;271,391;;4143,76
226;0,32;0;276,83;274,899;273,84;355;481,366;480,288;0;271,392;;4143,76
227;0,32;0;276,664;274,891;273,84;355;480,064;478,993;0;271,393;;4143,76
228;0,32;0;276,613;274,917;273,84;355;478,74;477,72;0;271,393;;4143,76
229;0,32;0;276,548;274,924;273,84;355;477,713;476,7;0;271,394;;4143,76
230;0,32;0;276,483;274,91;273,84;355;477,091;475,933;0;271,395;;4143,76
231;0,32;0;276,353;274,899;273,84;355;476,476;475,376;0;271,396;;4143,76
232;0,32;0;276,309;274,891;273,84;355;475,441;474,436;0;271,396;;4143,76
233;0,32;0;276,382;274,902;273,84;355;474,016;473,054;0;271,396;;4143,76
234;0,32;0;276,461;274,924;273,84;355;472,635;471,774;0;271,396;;4143,76
235;0,32;0;276,555;274,902;273,84;355;468,714;466,088;0;271,396;;4143,76
236;0,32;0;276,374;274,895;273,84;355;372,83;365,314;0;271,396;;4143,76
237;0,32;0;276,121;274,891;273,84;355;226,852;230,483;0;271,396;;4143,76
238;0,32;0;275,666;274,91;273,84;355;139,547;139,8;0;271,396;;4143,76
239;0,32;0;275,571;274,924;273,84;355;86,0966;83,5286;0;271,396;;4143,76
